"Time","Charge","n","q","d"
0.0,0.01,0.0,19.31,0.000
0.1,0.01,0.5,19.31,0.750
0.2,-0.01,1.0,15.31,1.500
0.3,0.00,1.5,11.10,2.250
0.4,0.00,2.0,8.97,3.000
0.5,0.01,2.5,7.64,3.750
0.6,0.01,3.0,6.68,4.500
0.7,0.00,3.5,6.00,5.250
0.8,0.01,4.0,5.43,6.000
0.9,0.00,4.5,5.01,6.750
1.0,0.00,5.0,4.66,7.500
1.1,0.00,5.5,4.37,8.250
1.2,0.01,6.0,4.13,9.000
1.3,-0.01,7.0,3.74,10.500
1.4,0.02,8.0,3.44,12.000
1.5,0.01,9.0,3.16,13.500
1.6,0.00,10.0,3.00,15.000
1.7,0.01,12.0,2.69,18.000
1.8,0.01,14.0,2.49,21.000
1.9,0.00,16.0,2.35,24.000
2.0,0.00,18.0,2.22,27.000
2.1,0.01,20.0,2.12,30.000

